,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>220.53,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.18,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=9.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>197.81,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54,TERMINAL_ID_RISK_30DAY_WINDOW<=0.15,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=72.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=94.04,CUSTOMER_ID_NB_TX_7DAY_WINDOW>29.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50,TERMINAL_ID_NB_TX_7DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=220.53,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=9.50","TX_AMOUNT<=220.53,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.53,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54","TX_AMOUNT<=220.53,TERMINAL_ID_RISK_30DAY_WINDOW<=0.15","CUSTOMER_ID_NB_TX_1DAY_WINDOW>9.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>9.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=102.00","CUSTOMER_ID_NB_TX_1DAY_WINDOW>9.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=21.09","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.18,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.18,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.18,TERMINAL_ID_RISK_30DAY_WINDOW<=0.15","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=52.67","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=197.81,TERMINAL_ID_RISK_30DAY_WINDOW<=0.15","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=111.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=56.49","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=18.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.54,TERMINAL_ID_RISK_30DAY_WINDOW<=0.34"
0,143.83,2.0,127.43499999999996,12.0,127.91416666666673,68.0,103.65705882352938,2.0,0.0,7.0,0.0,27.0,0.0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,99.05,5.0,56.407999999999994,20.0,55.64600000000003,121.0,54.743057851239655,1.0,0.0,7.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,70.54,6.0,54.251666666666665,26.0,64.19346153846155,104.0,58.70769230769232,0.0,0.0,4.0,0.0,18.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
3,32.52,7.0,40.05285714285716,32.0,32.884687500000005,118.0,31.511864406779655,0.0,0.0,2.0,0.0,12.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
4,26.05,3.0,75.65000000000009,23.0,77.84565217391301,77.0,83.77597402597401,2.0,0.0,6.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5,48.36,5.0,52.94400000000004,23.0,42.27043478260869,102.0,45.15823529411763,1.0,0.0,5.0,0.0,15.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
6,133.62,4.0,108.06250000000003,26.0,87.87999999999994,103.0,85.65116504854372,0.0,0.0,5.0,0.0,22.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7,13.84,3.0,16.8,13.0,12.253076923076925,55.0,15.214181818181816,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8,39.34,3.0,41.83666666666668,10.0,66.22300000000004,43.0,56.02046511627903,2.0,0.0,6.0,0.0,25.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
9,17.44,3.0,36.71000000000001,13.0,51.32923076923078,43.0,60.02790697674421,1.0,0.0,6.0,0.0,22.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10,28.94,6.0,74.55500000000005,32.0,84.68312499999999,113.0,73.28964601769911,2.0,0.0,3.0,0.0,12.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
11,90.62,5.0,96.30400000000013,28.0,89.38035714285716,107.0,92.33990654205607,0.0,0.0,5.0,0.0,18.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12,13.36,3.0,12.986666666666663,22.0,8.550909090909085,74.0,8.262162162162157,0.0,0.0,6.0,0.0,22.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13,100.04,2.0,124.4199999999999,17.0,107.21588235294112,78.0,100.89064102564099,1.0,0.0,6.0,0.0,23.0,0.0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
14,63.73,3.0,86.31,9.0,77.76666666666675,68.0,72.28838235294118,0.0,0.0,2.0,0.0,18.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
