,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>218.64,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>192.52,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=115.67,CUSTOMER_ID_NB_TX_30DAY_WINDOW>103.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=105.53,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.16,CUSTOMER_ID_NB_TX_7DAY_WINDOW>27.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=3.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=218.64,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=218.64,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54","TX_AMOUNT<=218.64,TERMINAL_ID_RISK_30DAY_WINDOW<=0.16","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>25.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=9.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=118.55","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=47.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=106.17","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,TERMINAL_ID_RISK_7DAY_WINDOW<=0.54","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=192.52,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=5.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=115.67","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=24.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>25.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=94.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=24.23","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>6.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.54,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.54,TERMINAL_ID_RISK_30DAY_WINDOW<=0.25"
0,50.01,2.0,41.64,6.0,67.81333333333329,22.0,79.77636363636366,2.0,0.0,3.0,0.0,14.0,0.0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,33.54,7.0,34.24857142857143,28.0,30.012142857142866,87.0,30.585402298850568,1.0,0.0,3.0,0.0,24.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114.53,5.0,76.78,26.0,60.0303846153846,103.0,55.66330097087376,0.0,0.0,2.0,0.0,10.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7.81,3.0,9.926666666666678,16.0,13.826250000000018,76.0,16.816315789473673,3.0,0.0,5.0,0.0,29.0,0.0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,90.47,3.0,101.40666666666677,17.0,105.22411764705878,82.0,102.03060975609756,0.0,0.0,6.0,0.0,25.0,0.0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53.04,2.0,38.245000000000005,13.0,28.237692307692303,51.0,26.02607843137253,2.0,0.0,9.0,0.0,29.0,0.0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,6.63,2.0,5.555000000000009,18.0,21.1088888888889,82.0,21.28341463414635,0.0,0.0,2.0,0.0,19.0,0.0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,52.27,2.0,78.68499999999982,27.0,77.1237037037037,116.0,74.76724137931035,0.0,0.0,5.0,0.0,15.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,39.09,7.0,41.36857142857145,19.0,46.82052631578944,77.0,43.887012987012966,0.0,0.0,5.0,0.0,29.0,0.0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,49.27,4.0,72.24499999999998,31.0,78.30258064516127,91.0,71.64087912087909,1.0,0.0,6.0,0.0,17.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.05,5.0,89.63799999999999,18.0,97.66777777777791,93.0,84.36720430107532,2.0,0.0,9.0,0.0,25.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,16.63,2.0,28.484999999999957,14.0,80.30285714285712,78.0,84.80371794871795,1.0,0.0,11.0,0.0,29.0,0.0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,91.32,3.0,55.436666666666675,24.0,49.89625000000001,98.0,45.537142857142854,0.0,0.0,5.0,0.0,18.0,0.0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14.62,5.0,8.900000000000002,26.0,6.2703846153846134,99.0,6.030303030303031,0.0,0.0,1.0,0.0,17.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,83.1,5.0,71.94000000000003,13.0,75.54615384615383,35.0,79.82628571428575,0.0,0.0,4.0,0.0,21.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,85.15,4.0,83.64500000000007,25.0,94.34440000000008,108.0,89.6973148148147,1.0,0.0,3.0,0.0,6.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
