,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>219.79,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=215.77,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=36.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=129.14,CUSTOMER_ID_NB_TX_30DAY_WINDOW>5.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=106.91,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=14.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55,TERMINAL_ID_NB_TX_30DAY_WINDOW<=35.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.11,CUSTOMER_ID_NB_TX_1DAY_WINDOW>6.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.79,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=174.92","TX_AMOUNT<=219.79,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=144.83","TX_AMOUNT<=219.79,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.79,TERMINAL_ID_NB_TX_7DAY_WINDOW<=14.50","TX_AMOUNT<=219.79,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55","TX_AMOUNT<=219.79,TERMINAL_ID_NB_TX_30DAY_WINDOW<=35.50","TX_AMOUNT<=219.79,TERMINAL_ID_RISK_30DAY_WINDOW<=0.11","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.77,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>35.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.77,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=26.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.77,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=111.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.77,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=35.00","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=34.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>35.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=37.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>129.14,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=77.19","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=55.32","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=59.21","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=103.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=124.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=103.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>35.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=127.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=34.16","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=11.03","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=65.39","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=10.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=32.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.11","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=35.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>14.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,TERMINAL_ID_RISK_30DAY_WINDOW<=0.30"
0,22.26,3.0,27.193333333333342,12.0,17.66416666666667,40.0,16.070999999999994,0.0,0.0,9.0,0.0,28.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,57.26,3.0,72.02666666666663,16.0,71.895,58.0,74.8225862068966,1.0,0.0,3.0,0.0,22.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,34.94,2.0,90.9800000000001,19.0,83.12526315789474,72.0,86.3522222222222,1.0,0.0,7.0,0.0,27.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,68.95,2.0,48.82000000000001,7.0,50.55857142857144,23.0,41.6291304347826,1.0,0.0,6.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,84.78,7.0,96.98857142857143,38.0,90.63026315789477,127.0,80.39976377952756,3.0,0.0,7.0,0.0,24.0,0.0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,112.61,3.0,78.27999999999999,7.0,87.7857142857143,41.0,87.1346341463415,0.0,0.0,5.0,0.0,24.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,13.73,3.0,9.126666666666656,20.0,10.424,72.0,10.631111111111107,1.0,0.0,7.0,0.0,24.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,45.83,2.0,41.7650000000001,13.0,54.74538461538463,69.0,49.90159420289854,0.0,0.0,2.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.52,2.0,19.524999999999984,10.0,53.325,58.0,52.83741379310345,2.0,0.0,6.0,0.0,17.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5.97,3.0,7.419999999999998,22.0,10.428181818181821,91.0,9.493736263736261,1.0,0.0,6.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,38.23,4.0,32.29750000000004,28.0,31.4732142857143,120.0,32.263999999999996,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,14.92,3.0,52.48333333333334,16.0,38.50750000000002,75.0,36.40199999999999,1.0,0.0,5.0,0.0,18.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10.18,2.0,8.089999999999996,13.0,7.884615384615385,46.0,6.926521739130439,0.0,0.0,6.0,0.16666666666666666,27.0,0.037037037037037035,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,7.23,3.0,18.643333333333327,10.0,16.110000000000007,47.0,16.879999999999995,2.0,0.0,5.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,46.95,1.0,46.94999999999999,3.0,109.2566666666666,23.0,104.39434782608694,0.0,0.0,2.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,36.33,5.0,29.685999999999968,27.0,29.34777777777778,105.0,30.07314285714282,1.0,0.0,6.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6.09,2.0,7.9399999999999995,21.0,6.6504761904761835,79.0,6.521898734177218,2.0,0.0,11.0,0.0,26.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
