,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>220.00,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=194.84,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=5.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=123.06,CUSTOMER_ID_NB_TX_30DAY_WINDOW>128.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=101.87,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW>7.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW>27.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.11,CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=220.00,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=195.30","TX_AMOUNT<=220.00,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=130.27","TX_AMOUNT<=220.00,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.00,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","TX_AMOUNT<=220.00,TERMINAL_ID_RISK_30DAY_WINDOW<=0.11","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>123.06,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=11.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=139.29","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=54.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=76.45","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>194.84,TERMINAL_ID_NB_TX_30DAY_WINDOW<=24.00","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=128.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>5.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=0.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>5.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>123.06,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=76.02","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=123.06","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=128.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=98.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=128.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=19.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=64.89","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=22.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.29","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=10.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23"
0,132.89,5.0,108.66799999999989,28.0,97.87999999999998,121.0,94.86611570247929,0.0,0.0,4.0,0.0,32.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22.78,1.0,22.77999999999998,24.0,21.582916666666648,90.0,21.5721111111111,1.0,0.0,7.0,0.0,32.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,124.86,3.0,107.06999999999984,15.0,99.5039999999999,61.0,111.44098360655734,1.0,0.0,5.0,0.0,14.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
3,80.46,3.0,68.67666666666669,26.0,57.73807692307696,101.0,64.24217821782173,1.0,0.0,6.0,0.0,25.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,37.66,1.0,37.66,7.0,48.97999999999998,19.0,53.11894736842104,0.0,0.0,7.0,0.0,25.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18.86,2.0,20.560000000000024,14.0,15.34357142857144,56.0,19.291964285714297,1.0,0.0,5.0,0.0,19.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
6,63.0,4.0,58.37999999999997,24.0,38.266666666666666,84.0,38.57428571428569,2.0,0.0,4.0,0.0,24.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7.03,2.0,29.84000000000002,15.0,37.34400000000002,65.0,38.25507692307692,1.0,0.0,8.0,0.0,31.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.27,3.0,25.909999999999954,17.0,57.74705882352945,55.0,62.02672727272728,1.0,0.0,3.0,0.0,18.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
9,42.33,2.0,43.48499999999994,12.0,87.24833333333338,53.0,78.45547169811319,1.0,0.0,2.0,0.0,17.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
10,26.85,3.0,20.943333333333353,26.0,27.54692307692309,107.0,30.47485981308412,1.0,0.0,3.0,0.0,26.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,89.34,1.0,89.34000000000015,8.0,80.36249999999991,33.0,84.88515151515156,0.0,0.0,5.0,0.0,22.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,119.35,2.0,121.19499999999996,12.0,84.68666666666668,51.0,88.86803921568628,0.0,0.0,4.0,0.0,16.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13,75.63,7.0,65.14857142857143,37.0,86.56864864864858,123.0,89.50195121951222,0.0,0.0,6.0,0.0,27.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,3.98,1.0,3.9799999999999867,16.0,9.328749999999994,78.0,9.274871794871796,0.0,0.0,3.0,0.0,21.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,115.12,1.0,115.12000000000013,7.0,94.11428571428574,27.0,106.58037037037036,0.0,0.0,5.0,0.0,28.0,0.0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,74.07,4.0,86.94999999999979,14.0,71.23928571428573,92.0,70.32065217391307,0.0,0.0,0.0,0.0,9.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,32.42,2.0,21.410000000000004,7.0,20.84,19.0,21.85157894736842,0.0,0.0,5.0,0.0,25.0,0.0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
