,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>220.38,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>219.23,CUSTOMER_ID_NB_TX_7DAY_WINDOW>17.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=113.17,CUSTOMER_ID_NB_TX_30DAY_WINDOW>89.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=95.05,CUSTOMER_ID_NB_TX_1DAY_WINDOW>6.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.12,TERMINAL_ID_NB_TX_7DAY_WINDOW>2.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=38.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TX_DURING_NIGHT>0.50,"TX_AMOUNT<=220.38,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=167.55","TX_AMOUNT<=220.38,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.38,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TX_AMOUNT<=220.38,TERMINAL_ID_RISK_30DAY_WINDOW<=0.12","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=38.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=4.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=8.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=3.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=38.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=43.49","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=66.16","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=15.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=11.00","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=89.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=38.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=45.83","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=66.82","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>38.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TX_DURING_NIGHT<=0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_RISK_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=14.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.12,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW<=17.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.12"
0,35.06,4.0,78.43750000000007,25.0,73.4192,102.0,71.31196078431368,1.0,0.0,3.0,0.0,23.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7.12,2.0,9.370000000000005,11.0,8.155454545454548,59.0,9.306271186440673,1.0,0.0,8.0,0.0,29.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57.45,4.0,56.647499999999994,12.0,55.04499999999999,48.0,59.09708333333332,0.0,0.0,2.0,0.0,11.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,49.53,5.0,39.362,24.0,45.52458333333334,86.0,49.02965116279069,1.0,0.0,3.0,0.0,25.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.91,2.0,5.235000000000003,20.0,10.46100000000001,74.0,9.859594594594595,0.0,0.0,3.0,0.0,26.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,34.28,3.0,68.21333333333328,16.0,80.81250000000009,65.0,66.28523076923076,0.0,0.0,4.0,0.0,21.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,123.9,3.0,132.66666666666683,15.0,121.61800000000002,54.0,106.86481481481486,0.0,0.0,2.0,0.0,20.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,162.59,2.0,136.85000000000002,8.0,116.45249999999999,23.0,108.41260869565214,0.0,0.0,4.0,0.0,27.0,0.0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19.04,3.0,26.70333333333333,11.0,26.225454545454546,43.0,24.596279069767444,1.0,0.0,5.0,0.0,14.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,62.2,7.0,76.62714285714289,21.0,72.91666666666667,76.0,82.22684210526313,3.0,0.0,7.0,0.0,21.0,0.0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,17.71,3.0,44.65666666666669,14.0,53.29714285714283,71.0,73.90901408450704,1.0,0.0,6.0,0.0,27.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5.53,2.0,23.45499999999997,15.0,29.35,65.0,30.06507692307693,2.0,0.0,6.0,0.0,28.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,120.58,4.0,83.11500000000001,28.0,92.28571428571425,108.0,85.395,1.0,0.0,6.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16.51,3.0,25.443333333333342,17.0,23.060588235294123,103.0,21.433883495145643,1.0,0.0,6.0,0.0,17.0,0.0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,35.06,3.0,25.6866666666667,24.0,31.75666666666666,75.0,27.956533333333343,1.0,0.0,9.0,0.0,27.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1.71,3.0,7.349999999999994,15.0,6.5613333333333355,81.0,5.95481481481481,0.0,0.0,8.0,0.0,18.0,0.0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
