,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>219.08,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>218.89,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=38.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=201.87,CUSTOMER_ID_NB_TX_30DAY_WINDOW>9.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=125.73,TERMINAL_ID_NB_TX_1DAY_WINDOW>1.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.08,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.08,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23","TX_AMOUNT<=219.08,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","CUSTOMER_ID_NB_TX_7DAY_WINDOW>38.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>3.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>25.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=9.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=218.89,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=21.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>38.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=123.50","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=11.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=16.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW>38.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>38.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=15.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=92.00","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>201.87,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=75.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=68.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=9.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=9.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.50","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>125.73,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=24.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.22","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,TERMINAL_ID_RISK_30DAY_WINDOW<=0.06"
0,123.43,4.0,102.32999999999997,25.0,82.536,91.0,76.54791208791207,0.0,0.0,1.0,0.0,7.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43.81,3.0,37.846666666666685,20.0,41.93349999999998,89.0,43.345617977528086,0.0,0.0,0.0,0.0,14.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.12,2.0,10.184999999999999,11.0,15.03090909090908,57.0,17.582456140350878,2.0,0.0,7.0,0.0,23.0,0.0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16.81,2.0,23.49000000000001,10.0,32.818999999999996,45.0,32.1071111111111,0.0,0.0,8.0,0.0,26.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,26.85,5.0,21.338000000000005,24.0,24.67458333333335,89.0,26.288764044943807,1.0,0.0,9.0,0.0,25.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,112.69,5.0,107.902,20.0,88.68599999999996,80.0,80.74525000000006,1.0,0.0,6.0,0.0,37.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,25.63,3.0,49.68,7.0,55.65428571428574,33.0,63.09636363636366,0.0,0.0,3.0,0.0,12.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6.01,2.0,7.509999999999965,29.0,7.735172413793101,111.0,9.235225225225228,0.0,0.0,3.0,0.0,19.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30.93,5.0,24.20000000000001,21.0,24.514285714285705,82.0,24.65463414634148,3.0,0.0,7.0,0.0,30.0,0.0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,66.35,4.0,71.76500000000001,20.0,69.56700000000006,86.0,73.18093023255811,0.0,0.0,4.0,0.0,23.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,27.16,8.0,74.04124999999998,23.0,70.24913043478263,68.0,67.25926470588234,1.0,0.0,7.0,0.0,30.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,126.83,4.0,109.1100000000001,23.0,96.97304347826092,97.0,82.41278350515466,0.0,0.0,1.0,0.0,23.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,143.72,6.0,108.43333333333324,32.0,86.28312499999998,110.0,97.74536363636365,0.0,0.0,4.0,0.0,19.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,90.59,6.0,90.17999999999996,32.0,93.22937500000002,94.0,85.77095744680854,0.0,0.0,7.0,0.0,24.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,29.91,5.0,19.695999999999984,20.0,20.426999999999996,97.0,19.83288659793814,1.0,0.0,6.0,0.0,21.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,48.1,3.0,43.68333333333337,17.0,62.59647058823525,103.0,60.64825242718442,2.0,0.0,10.0,0.1,25.0,0.04,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,100.68,3.0,60.56333333333317,22.0,94.42363636363643,112.0,89.27142857142852,0.0,0.0,1.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,40.92,3.0,63.59666666666666,9.0,67.12555555555551,74.0,69.95594594594596,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
