,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>213.38,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>210.38,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=12.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=132.06,CUSTOMER_ID_NB_TX_30DAY_WINDOW>19.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=114.35,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=213.38,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=210.38","TX_AMOUNT<=213.38,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","TX_AMOUNT<=213.38,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=210.38,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=132.06","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=210.38,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=210.38,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_NB_TX_7DAY_WINDOW>12.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=15.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>12.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>12.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>12.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=132.06","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>132.06,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=76.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=13.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>4.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.20"
0,23.36,2.0,23.604999999999997,14.0,19.19428571428572,62.0,19.485645161290332,0.0,0.0,2.0,0.0,20.0,0.0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,66.78,3.0,55.503333333333295,16.0,59.241250000000086,63.0,68.77619047619048,0.0,0.0,1.0,0.0,20.0,0.0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,33.07,3.0,28.56666666666669,20.0,31.65050000000001,89.0,32.7165168539326,1.0,0.0,8.0,0.0,27.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,45.44,5.0,70.58600000000004,14.0,72.57071428571423,66.0,66.90136363636364,0.0,0.0,5.0,0.0,20.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,103.38,6.0,77.68833333333329,22.0,61.89681818181818,95.0,67.42421052631575,2.0,0.0,8.0,0.0,27.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56.81,3.0,93.62666666666665,22.0,77.29454545454544,106.0,86.7716037735849,0.0,0.0,1.0,0.0,10.0,0.0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,51.01,2.0,29.764999999999986,7.0,35.24714285714284,44.0,27.987954545454553,0.0,0.0,3.0,0.0,20.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,41.28,4.0,55.35999999999993,25.0,70.92600000000004,118.0,76.42627118644079,1.0,0.0,5.0,0.0,24.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,108.33,3.0,114.2533333333335,20.0,98.28,87.0,99.22724137931039,0.0,0.0,11.0,0.0,20.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,25.26,4.0,36.750000000000036,17.0,32.19882352941176,87.0,34.679885057471274,1.0,0.0,5.0,0.0,24.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56.44,1.0,56.44000000000004,11.0,42.12272727272727,42.0,40.03023809523811,0.0,0.0,3.0,0.0,7.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,71.69,3.0,84.9,21.0,67.35333333333342,113.0,65.2190265486726,1.0,0.0,5.0,0.0,14.0,0.0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12,42.2,2.0,23.28500000000001,6.0,26.731666666666673,39.0,29.470512820512834,1.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8.79,3.0,13.666666666666655,9.0,14.426666666666655,74.0,15.035810810810808,0.0,0.0,2.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,19.07,4.0,30.745000000000005,9.0,29.30000000000003,45.0,29.30755555555557,0.0,0.0,4.0,0.0,17.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
