,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>219.88,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>232.82,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=39.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=98.33,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=66.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=97.84,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=12.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW>21.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.88,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=202.89","TX_AMOUNT<=219.88,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.88,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","TX_AMOUNT<=219.88,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_NB_TX_7DAY_WINDOW>39.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>12.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>39.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=127.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW>39.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=11.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>39.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=107.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW>66.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=12.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=36.00","CUSTOMER_ID_NB_TX_30DAY_WINDOW>66.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.10,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=31.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=69.68","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=97.84","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>12.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.90","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=29.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.05","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>12.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>12.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.15","TERMINAL_ID_RISK_30DAY_WINDOW>0.10,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50"
0,98.32,4.0,53.907499999999985,29.0,76.51482758620692,104.0,74.85759615384619,1.0,0.0,6.0,0.0,22.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,82.48,2.0,70.28000000000004,21.0,65.8995238095238,108.0,64.1160185185185,2.0,0.0,5.0,0.0,19.0,0.0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,64.0,1.0,63.999999999999986,6.0,83.82166666666666,17.0,76.17823529411767,1.0,0.0,3.0,0.0,26.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,59.79,2.0,38.984999999999985,9.0,34.15888888888888,58.0,45.83534482758619,1.0,0.0,1.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,114.19,6.0,75.43333333333337,28.0,82.30357142857142,111.0,72.11000000000003,2.0,0.0,5.0,0.0,22.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11.69,5.0,12.330000000000004,18.0,14.70166666666667,81.0,16.02407407407408,0.0,0.0,0.0,0.0,9.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,77.91,5.0,59.667999999999985,11.0,84.76363636363641,45.0,89.03955555555557,2.0,0.0,5.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,63.56,2.0,51.42,3.0,39.32666666666667,8.0,41.533750000000005,1.0,0.0,3.0,0.0,24.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,99.68,2.0,123.97499999999985,17.0,106.83117647058819,78.0,100.52769230769233,1.0,0.0,2.0,0.0,10.0,0.0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,81.79,1.0,81.79000000000003,7.0,66.86857142857144,27.0,75.72629629629631,0.0,0.0,5.0,0.0,22.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,68.13,1.0,68.12999999999997,5.0,66.66799999999999,14.0,70.70714285714287,1.0,0.0,3.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,128.82,4.0,78.96499999999997,12.0,81.62750000000004,49.0,86.22183673469388,1.0,0.0,6.0,0.0,29.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,44.46,1.0,44.46000000000006,9.0,72.02888888888889,31.0,85.59935483870962,1.0,0.0,8.0,0.0,28.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3.78,6.0,10.694999999999993,17.0,9.276470588235288,74.0,8.821756756756763,0.0,0.0,2.0,0.0,10.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,11.72,3.0,26.32666666666665,34.0,33.67088235294118,110.0,34.20127272727272,0.0,0.0,2.0,0.0,16.0,0.0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,41.96,2.0,48.02000000000008,20.0,69.80700000000022,114.0,71.51368421052626,2.0,0.0,3.0,0.0,23.0,0.0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,22.22,2.0,31.235,2.0,31.235,4.0,25.3275,0.0,0.0,6.0,0.0,26.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
