,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>219.62,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.25,CUSTOMER_ID_NB_TX_7DAY_WINDOW>8.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>229.80,CUSTOMER_ID_NB_TX_30DAY_WINDOW>120.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=113.82,TERMINAL_ID_NB_TX_1DAY_WINDOW>2.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.85,TERMINAL_ID_NB_TX_30DAY_WINDOW>6.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.62,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=162.86","TX_AMOUNT<=219.62,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=160.31","TX_AMOUNT<=219.62,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=109.43","TX_AMOUNT<=219.62,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.62,TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50","TX_AMOUNT<=219.62,TERMINAL_ID_RISK_7DAY_WINDOW<=0.85","TX_AMOUNT<=219.62,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.25,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=10.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.25,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.25,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.25,TERMINAL_ID_RISK_7DAY_WINDOW<=0.85","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.25,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=8.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=53.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=8.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=6.00","TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=30.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=16.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.23,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=229.80,TERMINAL_ID_RISK_7DAY_WINDOW<=0.85","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=108.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=99.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=100.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.23,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=98.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=15.48","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.33","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=30.50"
0,15.79,4.0,20.077499999999986,21.0,21.234761904761918,88.0,20.72772727272728,0.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,95.14,3.0,121.53666666666662,24.0,86.5833333333335,90.0,89.7004444444445,0.0,0.0,5.0,0.0,20.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,104.47,5.0,95.57799999999993,35.0,91.27942857142862,115.0,84.52339130434783,0.0,0.0,2.0,0.0,19.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,33.66,5.0,39.13599999999998,29.0,33.477586206896525,111.0,29.51702702702703,0.0,0.0,4.0,0.0,23.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,36.31,5.0,63.42200000000001,23.0,56.0147826086957,100.0,52.859800000000035,0.0,0.0,4.0,0.0,13.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,83.2,1.0,83.20000000000006,7.0,99.26571428571417,44.0,95.26886363636362,1.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41.94,3.0,52.960000000000036,20.0,71.60450000000006,98.0,69.26010204081634,0.0,0.0,4.0,0.0,21.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,61.96,4.0,49.08750000000003,26.0,38.06346153846155,110.0,45.74745454545456,0.0,0.0,0.0,0.0,8.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,30.55,4.0,36.24999999999999,31.0,44.950645161290296,115.0,41.9798260869565,2.0,0.0,9.0,0.0,27.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49.68,3.0,84.26333333333322,24.0,83.4120833333333,111.0,76.99369369369374,1.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,39.74,3.0,63.36666666666667,16.0,59.512499999999996,65.0,53.99923076923075,1.0,0.0,3.0,0.0,19.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,51.45,3.0,46.150000000000006,20.0,42.022499999999994,95.0,46.13778947368423,0.0,0.0,4.0,0.0,17.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,38.14,1.0,38.1399999999997,13.0,88.77153846153846,43.0,95.4253488372093,0.0,0.0,4.0,0.0,18.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,25.79,4.0,46.21750000000001,30.0,57.0943333333334,114.0,55.8155263157895,1.0,0.0,4.0,0.0,14.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,88.47,4.0,71.69999999999996,27.0,71.07555555555562,122.0,86.60024590163934,1.0,0.0,1.0,0.0,12.0,0.0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,22.23,3.0,21.21333333333328,14.0,20.852857142857154,95.0,18.588526315789476,0.0,0.0,4.0,0.0,21.0,0.0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,38.18,5.0,34.43599999999999,31.0,29.86838709677422,137.0,28.55788321167884,0.0,0.0,2.0,0.0,13.0,0.0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
