,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT<=216.82,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=213.40,CUSTOMER_ID_NB_TX_7DAY_WINDOW>9.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=170.29,CUSTOMER_ID_NB_TX_30DAY_WINDOW>32.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=105.49,TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW>5.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW>12.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09,CUSTOMER_ID_NB_TX_1DAY_WINDOW>7.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT>216.82,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=113.68","TX_AMOUNT>216.82,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","TX_AMOUNT>216.82,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>170.29,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=154.51","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=28.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=110.74","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>213.40,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=10.00","TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=8.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=10.00","TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=37.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=170.29","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>170.29,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=48.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=32.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=80.03","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09"
0,27.55,2.0,22.940000000000012,4.0,33.25499999999998,20.0,50.549499999999995,1.0,0.0,3.0,0.0,23.0,0.0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,10.4,2.0,49.96000000000003,11.0,73.71818181818185,57.0,82.97771929824563,0.0,0.0,4.0,0.0,12.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,53.35,12.0,38.75416666666667,36.0,43.74972222222221,119.0,44.75932773109245,2.0,0.0,5.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,85.76,4.0,64.55000000000007,20.0,79.115,85.0,96.00505882352944,0.0,0.0,1.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,106.46,6.0,74.43833333333332,25.0,74.60839999999999,92.0,69.8428260869565,1.0,0.0,7.0,0.0,25.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,40.92,3.0,36.193333333333314,17.0,44.83352941176475,87.0,42.81459770114941,0.0,0.0,2.0,0.0,18.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,55.71,3.0,58.48333333333335,24.0,61.791250000000026,96.0,59.24000000000001,0.0,0.0,5.0,0.0,14.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25.16,2.0,19.58,3.0,21.76333333333334,34.0,18.456470588235298,0.0,0.0,4.0,0.0,13.0,0.0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9.2,5.0,41.85200000000002,14.0,45.05357142857142,51.0,47.27392156862743,0.0,0.0,6.0,0.0,25.0,0.0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,85.57,3.0,55.28000000000046,24.0,88.29124999999992,105.0,113.48161904761903,1.0,0.0,5.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,31.48,4.0,20.395000000000017,23.0,21.361304347826103,91.0,24.07637362637363,1.0,0.0,8.0,0.0,24.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,71.9,3.0,79.83666666666669,15.0,70.93466666666664,49.0,67.9810204081633,1.0,0.0,7.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12.02,3.0,36.970000000000006,14.0,90.29714285714284,36.0,93.2838888888889,0.0,0.0,1.0,0.0,7.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,29.25,2.0,31.654999999999994,10.0,43.391000000000005,47.0,45.59127659574466,0.0,0.0,1.0,0.0,11.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,75.42,4.0,42.817500000000024,20.0,46.58300000000001,102.0,44.87970588235294,0.0,0.0,3.0,0.0,22.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,84.89,2.0,74.33500000000019,19.0,62.726315789473645,86.0,68.02848837209301,0.0,0.0,3.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,41.36,13.0,38.954615384615394,37.0,43.68513513513512,120.0,44.73100000000001,2.0,0.0,7.0,0.0,31.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
