,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>220.32,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.65,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=31.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=111.32,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=66.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=108.08,TERMINAL_ID_NB_TX_1DAY_WINDOW>1.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.44,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=220.32,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.32,TERMINAL_ID_RISK_7DAY_WINDOW<=0.44","TX_AMOUNT<=220.32,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","CUSTOMER_ID_NB_TX_7DAY_WINDOW>31.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=215.65,TERMINAL_ID_RISK_7DAY_WINDOW<=0.44","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=215.65,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","CUSTOMER_ID_NB_TX_7DAY_WINDOW>31.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=98.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=28.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=31.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=99.59","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=53.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=111.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=128.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=50.29","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=19.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,TERMINAL_ID_RISK_30DAY_WINDOW<=0.22","TERMINAL_ID_RISK_7DAY_WINDOW>0.44,TX_DURING_NIGHT<=0.50"
0,128.56,2.0,122.84500000000003,10.0,122.53400000000002,37.0,95.08945945945948,2.0,0.0,7.0,0.0,25.0,0.0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,17.74,3.0,22.56,16.0,31.421250000000033,76.0,38.2165789473684,2.0,0.0,5.0,0.0,16.0,0.0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10.41,7.0,12.817142857142866,32.0,10.522812500000006,118.0,10.083644067796607,1.0,0.0,4.0,0.0,16.0,0.0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,70.03,2.0,46.03,15.0,37.30533333333333,44.0,39.59863636363637,1.0,0.0,8.0,0.0,34.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,7.22,1.0,7.219999999999996,18.0,15.779444444444465,62.0,18.211451612903236,0.0,0.0,2.0,0.0,15.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,25.21,3.0,59.63000000000005,20.0,61.96049999999998,109.0,73.09330275229357,0.0,0.0,5.0,0.0,17.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.56,3.0,3.866666666666662,23.0,6.5578260869565215,99.0,6.0803030303030265,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,66.19,3.0,41.1466666666667,12.0,48.520833333333336,56.0,47.37803571428571,0.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,39.31,3.0,89.59666666666674,19.0,75.84263157894733,95.0,75.91757894736843,1.0,0.0,6.0,0.0,28.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.58,4.0,13.312499999999986,21.0,15.319523809523812,79.0,13.37860759493671,2.0,0.0,7.0,0.0,26.0,0.0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,40.6,3.0,42.313333333333354,17.0,36.68000000000001,53.0,37.65924528301887,0.0,0.0,6.0,0.0,34.0,0.0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11,24.91,5.0,24.84599999999996,22.0,23.677272727272737,112.0,21.797232142857144,2.0,0.0,6.0,0.0,25.0,0.0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4.42,3.0,28.193333333333257,22.0,39.122727272727275,106.0,43.4966037735849,0.0,0.0,11.0,0.0,25.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,101.36,4.0,79.35000000000007,17.0,90.41117647058823,95.0,90.608,1.0,0.0,6.0,0.0,18.0,0.0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,28.24,2.0,19.864999999999988,9.0,17.89444444444446,53.0,18.869622641509434,2.0,0.0,7.0,0.0,37.0,0.0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,22.55,3.0,26.066666666666706,25.0,23.7368,103.0,23.775728155339795,0.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
