,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>222.37,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>330.71,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=18.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>178.13,CUSTOMER_ID_NB_TX_30DAY_WINDOW>12.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=96.72,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW>6.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=222.37,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=222.37,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TX_AMOUNT<=222.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=330.71,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=139.81","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=330.71,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=330.71,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=330.71,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=12.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=23.00","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=178.13,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=52.58","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=178.13,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=123.00","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=12.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=8.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=98.00","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=106.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=53.61","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=53.61","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=6.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.31","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,TERMINAL_ID_NB_TX_30DAY_WINDOW<=17.50"
0,128.03,6.0,103.46333333333331,21.0,101.33333333333331,93.0,93.7291397849462,0.0,0.0,3.0,0.0,21.0,0.0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5.2,2.0,24.970000000000002,11.0,36.84,57.0,41.46649122807017,0.0,0.0,3.0,0.0,15.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26.96,3.0,26.950000000000003,12.0,21.88666666666667,46.0,19.407391304347822,1.0,0.0,3.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,135.42,6.0,75.46999999999997,22.0,73.67863636363641,93.0,83.66032258064514,0.0,0.0,3.0,0.0,12.0,0.08333333333333333,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
4,97.06,3.0,64.25666666666666,17.0,71.62588235294106,94.0,79.43287234042553,0.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,73.42,2.0,38.55500000000008,25.0,37.795599999999986,99.0,34.64030303030302,0.0,0.0,2.0,0.0,12.0,0.0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,109.98,1.0,109.97999999999978,19.0,61.28526315789474,67.0,96.72223880597016,0.0,0.0,2.0,0.0,20.0,0.05,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,60.93,3.0,52.00333333333338,20.0,53.98749999999999,100.0,51.308199999999985,0.0,0.0,3.0,0.0,16.0,0.0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,88.95,7.0,86.58714285714278,27.0,102.75222222222212,92.0,96.85304347826083,0.0,0.0,3.0,0.0,14.0,0.0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,129.97,4.0,110.7125,17.0,96.96470588235293,62.0,92.93629032258062,1.0,0.0,4.0,0.0,12.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,77.11,2.0,95.89999999999995,17.0,82.6405882352941,78.0,77.76448717948716,0.0,0.0,2.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6.05,2.0,6.075000000000006,17.0,8.098823529411762,85.0,8.79835294117647,0.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,63.14,1.0,63.14000000000008,17.0,43.612941176470585,79.0,38.9653164556962,2.0,0.0,9.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,47.85,2.0,48.95000000000017,16.0,45.78625000000002,93.0,52.633118279569835,1.0,0.0,4.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5.1,4.0,6.8125,13.0,7.16307692307692,45.0,6.020444444444445,0.0,0.0,1.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3.99,6.0,7.1400000000000015,32.0,7.553124999999997,110.0,8.712454545454543,1.0,0.0,10.0,0.0,18.0,0.0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,67.94,2.0,52.76999999999997,9.0,43.88888888888889,47.0,37.06553191489363,0.0,0.0,2.0,0.0,22.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
