,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>219.69,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=217.73,CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=147.78,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=130.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=123.14,TERMINAL_ID_NB_TX_1DAY_WINDOW<=4.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=20.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.69,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=186.68","TX_AMOUNT<=219.69,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=24.46","TX_AMOUNT<=219.69,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.69,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TX_AMOUNT<=219.69,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.50","TX_AMOUNT<=219.69,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=29.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW>130.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>23.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=126.92","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=67.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=115.12","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,TERMINAL_ID_NB_TX_30DAY_WINDOW<=22.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>217.73,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=15.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>147.78,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>147.78,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=43.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=36.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=78.54","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=30.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>4.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=29.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.06","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>23.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50"
0,99.8,2.0,63.064999999999905,26.0,85.56538461538452,95.0,85.3790526315789,1.0,0.0,6.0,0.0,21.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13.27,2.0,11.050000000000008,6.0,17.996666666666666,22.0,21.168636363636356,0.0,0.0,2.0,0.0,13.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,146.04,6.0,104.26333333333332,27.0,99.99962962962962,81.0,98.14543209876541,0.0,0.0,10.0,0.0,28.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,61.93,4.0,97.64000000000007,25.0,86.51439999999995,108.0,78.8791666666667,1.0,0.0,7.0,0.0,25.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,19.41,3.0,13.416666666666666,10.0,15.174999999999992,48.0,16.847291666666674,2.0,0.0,15.0,0.0,32.0,0.0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,53.33,5.0,63.54599999999998,31.0,114.17032258064516,121.0,108.77735537190077,0.0,0.0,3.0,0.0,22.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,55.89,6.0,87.69000000000001,26.0,72.49923076923082,117.0,65.02837606837603,0.0,0.0,5.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,41.22,3.0,60.02666666666673,13.0,47.66461538461538,66.0,42.15803030303033,0.0,0.0,2.0,0.0,11.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7.42,2.0,7.444999999999996,7.0,5.5314285714285765,56.0,6.2398214285714255,1.0,0.0,4.0,0.0,23.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,138.55,2.0,91.07000000000002,15.0,73.80866666666667,44.0,78.3456818181818,0.0,0.0,7.0,0.0,17.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,187.06,4.0,118.11750000000004,31.0,94.93870967741937,131.0,80.98770992366406,0.0,0.0,4.0,0.0,17.0,0.0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,46.52,4.0,83.36750000000016,30.0,102.99066666666664,114.0,100.6851754385965,2.0,0.0,6.0,0.0,23.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,54.65,4.0,53.4225,25.0,56.486800000000024,92.0,49.81021739130433,1.0,0.0,3.0,0.0,14.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,42.46,8.0,52.64874999999999,26.0,52.0784615384615,105.0,48.1115238095238,0.0,0.0,1.0,0.0,14.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.67,4.0,20.44999999999998,30.0,44.11200000000003,90.0,43.98144444444442,0.0,0.0,0.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30.28,4.0,41.99499999999999,26.0,33.93730769230772,84.0,32.98154761904761,0.0,0.0,2.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,53.37,4.0,62.80499999999999,17.0,55.71352941176472,60.0,55.822833333333314,0.0,0.0,6.0,0.0,23.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,60.56,9.0,103.3866666666667,26.0,92.71730769230764,93.0,90.49387096774198,0.0,0.0,3.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
